[2022-09-02 19:04:05 065] | Event | [GCloudCore] |7476| GCloudCore.cpp:62|ABase::CGCloudCore::CGCloudCore| Hello GCloudCore! OS_TYPE:Windows, Version:1.3.01.2706, VersionHash:a9873992cf6cd1071d90a12c0b521a1ecf1943c4
[2022-09-02 19:04:05 067] | Event | [GCloudCore] |7476| GCloud.cpp:85|GCloud::CGCloud::CGCloud| Hello GCloud! OS_TYPE:Windows, GCloudVersion:2.5.01.201407, GCloudVersionHash:hash_f0b4a451684d6f7d83b1d6a33f91f7dcac1bd622
[2022-09-02 19:04:05 067] | Info | [GCloudCore] |7476| GCloud.cpp:105|GCloud::CGCloud::Initialize| Input Params gameId:131134902, plugin name:
[2022-09-02 19:04:05 069] | Info | [GCloudCore] |7476| GCloudCommon.cpp:140|GCloud::CGCloudCommon::CGCloudCommon| _versionConnectBackupMode=[0],_rpcRetryTimes=[0],_cdnConnectTimeout=[10],_versionConnectMethod[0],RpcConnectTimeout[15] RpcRetryIncrement[7] RpcAddressSvrPortList[8085|8080] RpcAddressSvrBkIPList[] RpcConnectMode[0] RpcConnectTdrProto[100] RpcParallelChannels[15] RpcParallelCount[1] MapleConnectorConfig[0]
[2022-09-02 19:04:05 069] | Info | [GCloudCore] |7476| GCloudCommon.cpp:143|GCloud::CGCloudCommon::CGCloudCommon| ForceUseIPv6[1] NetworkAnalysisMode[0] PingUrl[www.google.com] DNSPriority[-1] SNIConfig[0] UseV3NewJarConfig[0] UseSkipListConfig[0]  rewriteChannelIDBeforeRenameAPK[0]
[2022-09-02 19:04:05 069] | Info | [GCloudCore] |7476| GCloud.cpp:118|GCloud::CGCloud::Initialize| CGCloud::Init gameId:131134902.
[2022-09-02 19:04:05 070] | Info | [GCloudCore] |7476| ConfigFile.cpp:49|GCloud::ConfigFile::ConfigFile| using GCloud.config
[2022-09-02 19:04:05 070] | Info | [GCloudCore] |7476| EncryptedIniFileImp.cpp:128|ABase::EncryptedIniFileImpl::Load| config file C:\Tower Of Fantasy\Launcher/Cache\GCloud.config is not exist
[2022-09-02 19:04:17 443] | Info | [GCloudCore] |7476| G6Connector.cpp:96|GCloud::G6Client::G6Connector::Connect| Set Connector to the server:keepalive.jupiterlauncher.com:8080
[2022-09-02 19:04:17 458] | Info | [GCloudCore] |3400| G6ConnectorUpdate.cpp:213|GCloud::G6Client::G6Connector::doGateAction| [Connector:045ACD18]: handleAction:1
[2022-09-02 19:04:17 458] | Event | [GCloudCore] |3400| G6ConnectorUpdate.cpp:528|GCloud::G6Client::G6Connector::connect| [Connector:045ACD18]: start connect, url:keepalive.jupiterlauncher.com:8080, mNetworkState:1
[2022-09-02 19:04:17 459] | Info | [GCloudCore] |3400| g6clt_api_gate.cpp:306|g6clt::g6clt_api_gate_create| welcome to use G6CLT_Gate version:1.2.0
[2022-09-02 19:04:17 459] | Info | [GCloudCore] |3400| g6clt_api_gate.cpp:904|g6clt::g6clt_api_gate_set_address| set connect gate:keepalive.jupiterlauncher.com:8080
[2022-09-02 19:04:17 478] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:341|tgcpapi_net_str2inet| realIP(v4):54.151.119.76, port:8080
[2022-09-02 19:04:17 478] | Error | [GCloudCore] |3400| g6clt_api_gate.cpp:1006|g6clt::g6clt_internal_gate_setsockopt_all| tgcpapi_net_set_nodelay return:-1
[2022-09-02 19:04:17 691] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:185
[2022-09-02 19:04:17 940] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:201
[2022-09-02 19:04:17 940] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:1042|GCloud::G6Client::G6Connector::handleConnected| Connect ret:0, end:1662120257
[2022-09-02 19:04:17 940] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:1070|GCloud::G6Client::G6Connector::onConnectedProc| [Connector:045ACD18]: notify onConnectedProc ret:0, ext:0, msg:, url:keepalive.jupiterlauncher.com:8080
[2022-09-02 19:04:17 942] | Info | [GCloudCore] |1700| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:04:21 018] | Info | [GCloudCore] |3400| G6ConnectorUpdate.cpp:876|ConvertG6RouteInfo| CTGcp::SetRouteInfo name:platform.online-state
[2022-09-02 19:04:21 018] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:276
[2022-09-02 19:04:21 236] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:260
[2022-09-02 19:04:21 236] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:04:21 236] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:941|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: Recv data cnt:0
[2022-09-02 19:04:21 236] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:1096|GCloud::G6Client::G6Connector::onDataRecvedProc| [Connector:045ACD18]: notify onDataRecvedProc ret:0, ext:0, msg:, url:keepalive.jupiterlauncher.com:8080
[2022-09-02 19:04:37 030] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:04:37 260] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:04:37 261] | Info | [GCloudCore] |3400| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:04:37 276] | Info | [GCloudCore] |3400| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:04:57 017] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:04:57 221] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:04:57 222] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:04:57 237] | Info | [GCloudCore] |1700| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:05:17 023] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:05:17 239] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:05:17 239] | Info | [GCloudCore] |3400| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:05:17 270] | Info | [GCloudCore] |3400| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:05:37 007] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:05:37 239] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:05:37 239] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:05:37 271] | Info | [GCloudCore] |3400| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:05:57 019] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:05:57 250] | Info | [GCloudCore] |3400| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:05:57 251] | Info | [GCloudCore] |3400| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
[2022-09-02 19:05:57 281] | Info | [GCloudCore] |1700| G6Connector.cpp:600|GCloud::G6Client::G6Connector::writeLocalSessionData| write session into file(C:\Tower Of Fantasy\Launcher/Cache\TSF4G2\session.txt) result(1)
[2022-09-02 19:06:17 001] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:903|tgcpapi_net_send| statistic_tcp_send_len:36
[2022-09-02 19:06:17 222] | Info | [GCloudCore] |1700| tgcpapi_net.cpp:836|tgcpapi_net_recv| statistic_tcp_recv_len:134
[2022-09-02 19:06:17 222] | Info | [GCloudCore] |1700| G6ConnectorUpdate.cpp:929|GCloud::G6Client::G6Connector::handleRecv| [Connector:045ACD18]: onRecvData [url:keepalive.jupiterlauncher.com:8080]
